"Source:","C:/Git/Marek/kicad/mpio_projekty/rejestracja3D/rejestracja02/rejestracja02.sch"
"Date:","13/03/2018 10:12:15"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10u","device:CP","Capacitors_SMD:CP_Elec_5x5.3",""
"","","C3","10n","device:C_Small","Capacitors_SMD:C_0603",""
"","","C4","0,1u","device:C","Capacitors_SMD:C_0603",""
"","","C6","10n","device:C_Small","Capacitors_SMD:C_0603",""
"","","J1","Conn_01x03","conn:Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"","","MK1","MA40S4R","device:Microphone_Ultrasound","mpio:MA40S4S_straight",""
"","","R1","3K9","device:R","Resistors_SMD:R_0603",""
"","","R2","100K","device:R","Resistors_SMD:R_0603",""
"","","R3","10K","device:R","Resistors_SMD:R_0603",""
"","","R4","10K","device:R","Resistors_SMD:R_0603",""
"","","R5","1K","device:R","Resistors_SMD:R_0603",""
"","","R6","100K","device:R","Resistors_SMD:R_0603",""
"","","R7","1K","device:R","Resistors_SMD:R_0603",""
"","","R8","33K","device:R","Resistors_SMD:R_0603",""
"","","U1","MCP604","linear:MCP604","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10u","device:CP","Capacitors_SMD:CP_Elec_5x5.3",""
"2","2","C3, C6","10n","device:C_Small","Capacitors_SMD:C_0603",""
"3","1","C4","0,1u","device:C","Capacitors_SMD:C_0603",""
"4","1","J1","Conn_01x03","conn:Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"5","1","MK1","MA40S4R","device:Microphone_Ultrasound","mpio:MA40S4S_straight",""
"6","1","R1","3K9","device:R","Resistors_SMD:R_0603",""
"7","2","R2, R6","100K","device:R","Resistors_SMD:R_0603",""
"8","2","R3, R4","10K","device:R","Resistors_SMD:R_0603",""
"9","2","R5, R7","1K","device:R","Resistors_SMD:R_0603",""
"10","1","R8","33K","device:R","Resistors_SMD:R_0603",""
"11","1","U1","MCP604","linear:MCP604","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm",""
